="",="(1)",=""
="",="marev",=""
="1._at # 本人学歴（ref:中学・高校）",="0.0370",="(3.80)"
="1._at # 短大・高専・専門",="0.00447",="(2.26)"
="1._at # 四大以上",="0.000760",="(1.33)"
="2._at # 本人学歴（ref:中学・高校）",="0.0438",="(4.83)"
="2._at # 短大・高専・専門",="0.00734",="(2.77)"
="2._at # 四大以上",="0.00168",="(1.61)"
="3._at # 本人学歴（ref:中学・高校）",="0.0511",="(6.23)"
="3._at # 短大・高専・専門",="0.0116",="(3.47)"
="3._at # 四大以上",="0.00350",="(1.99)"
="4._at # 本人学歴（ref:中学・高校）",="0.0586",="(7.96)"
="4._at # 短大・高専・専門",="0.0176",="(4.44)"
="4._at # 四大以上",="0.00682",="(2.50)"
="5._at # 本人学歴（ref:中学・高校）",="0.0663",="(9.61)"
="5._at # 短大・高専・専門",="0.0257",="(5.75)"
="5._at # 四大以上",="0.0125",="(3.22)"
="6._at # 本人学歴（ref:中学・高校）",="0.0737",="(10.40)"
="6._at # 短大・高専・専門",="0.0361",="(7.39)"
="6._at # 四大以上",="0.0213",="(4.24)"
="7._at # 本人学歴（ref:中学・高校）",="0.0808",="(10.15)"
="7._at # 短大・高専・専門",="0.0487",="(8.95)"
="7._at # 四大以上",="0.0341",="(5.60)"
="8._at # 本人学歴（ref:中学・高校）",="0.0872",="(9.43)"
="8._at # 短大・高専・専門",="0.0632",="(9.73)"
="8._at # 四大以上",="0.0511",="(7.08)"
="9._at # 本人学歴（ref:中学・高校）",="0.0929",="(8.71)"
="9._at # 短大・高専・専門",="0.0789",="(9.60)"
="9._at # 四大以上",="0.0716",="(8.06)"
="10._at # 本人学歴（ref:中学・高校）",="0.0974",="(8.13)"
="10._at # 短大・高専・専門",="0.0949",="(9.08)"
="10._at # 四大以上",="0.0939",="(8.22)"
="11._at # 本人学歴（ref:中学・高校）",="0.101",="(7.66)"
="11._at # 短大・高専・専門",="0.110",="(8.54)"
="11._at # 四大以上",="0.116",="(7.93)"
="12._at # 本人学歴（ref:中学・高校）",="0.103",="(7.25)"
="12._at # 短大・高専・専門",="0.123",="(8.10)"
="12._at # 四大以上",="0.135",="(7.56)"
="13._at # 本人学歴（ref:中学・高校）",="0.104",="(6.83)"
="13._at # 短大・高専・専門",="0.134",="(7.70)"
="13._at # 四大以上",="0.148",="(7.21)"
="14._at # 本人学歴（ref:中学・高校）",="0.103",="(6.34)"
="14._at # 短大・高専・専門",="0.140",="(7.28)"
="14._at # 四大以上",="0.155",="(6.81)"
="15._at # 本人学歴（ref:中学・高校）",="0.101",="(5.74)"
="15._at # 短大・高専・専門",="0.143",="(6.76)"
="15._at # 四大以上",="0.153",="(6.27)"
="16._at # 本人学歴（ref:中学・高校）",="0.0973",="(5.07)"
="16._at # 短大・高専・専門",="0.141",="(6.09)"
="16._at # 四大以上",="0.144",="(5.53)"
="17._at # 本人学歴（ref:中学・高校）",="0.0926",="(4.38)"
="17._at # 短大・高専・専門",="0.135",="(5.31)"
="17._at # 四大以上",="0.128",="(4.66)"
="18._at # 本人学歴（ref:中学・高校）",="0.0870",="(3.73)"
="18._at # 短大・高専・専門",="0.125",="(4.50)"
="18._at # 四大以上",="0.108",="(3.79)"
="19._at # 本人学歴（ref:中学・高校）",="0.0805",="(3.16)"
="19._at # 短大・高専・専門",="0.112",="(3.75)"
="19._at # 四大以上",="0.0855",="(3.03)"
="20._at # 本人学歴（ref:中学・高校）",="0.0734",="(2.67)"
="20._at # 短大・高専・専門",="0.0966",="(3.10)"
="20._at # 四大以上",="0.0636",="(2.42)"
="21._at # 本人学歴（ref:中学・高校）",="0.0659",="(2.27)"
="21._at # 短大・高専・専門",="0.0806",="(2.57)"
="21._at # 四大以上",="0.0443",="(1.95)"
="22._at # 本人学歴（ref:中学・高校）",="0.0583",="(1.94)"
="22._at # 短大・高専・専門",="0.0648",="(2.14)"
="22._at # 四大以上",="0.0289",="(1.60)"
="23._at # 本人学歴（ref:中学・高校）",="0.0508",="(1.66)"
="23._at # 短大・高専・専門",="0.0502",="(1.80)"
="23._at # 四大以上",="0.0176",="(1.33)"
="24._at # 本人学歴（ref:中学・高校）",="0.0435",="(1.44)"
="24._at # 短大・高専・専門",="0.0373",="(1.52)"
="24._at # 四大以上",="0.0100",="(1.12)"
="25._at # 本人学歴（ref:中学・高校）",="0.0367",="(1.26)"
="25._at # 短大・高専・専門",="0.0267",="(1.31)"
="25._at # 四大以上",="0.00536",="(0.96)"
="Observations",="7382",=""
="R-squared",="",=""
="t statistics in parentheses"
