="",="(1)",=""
="",="marev",=""
="1._at # 本人学歴（ref:中学・高校）",="0.00838",="(3.61)"
="1._at # 短大・高専・専門",="0.00228",="(2.36)"
="1._at # 四大以上",="0.000992",="(1.51)"
="2._at # 本人学歴（ref:中学・高校）",="0.0138",="(4.51)"
="2._at # 短大・高専・専門",="0.00456",="(2.89)"
="2._at # 四大以上",="0.00211",="(1.80)"
="3._at # 本人学歴（ref:中学・高校）",="0.0217",="(5.74)"
="3._at # 短大・高専・専門",="0.00862",="(3.60)"
="3._at # 四大以上",="0.00425",="(2.17)"
="4._at # 本人学歴（ref:中学・高校）",="0.0325",="(7.43)"
="4._at # 短大・高専・専門",="0.0153",="(4.59)"
="4._at # 四大以上",="0.00805",="(2.67)"
="5._at # 本人学歴（ref:中学・高校）",="0.0465",="(9.54)"
="5._at # 短大・高専・専門",="0.0256",="(5.95)"
="5._at # 四大以上",="0.0144",="(3.35)"
="6._at # 本人学歴（ref:中学・高校）",="0.0636",="(11.56)"
="6._at # 短大・高専・専門",="0.0401",="(7.73)"
="6._at # 四大以上",="0.0241",="(4.28)"
="7._at # 本人学歴（ref:中学・高校）",="0.0829",="(12.58)"
="7._at # 短大・高専・専門",="0.0590",="(9.61)"
="7._at # 四大以上",="0.0380",="(5.48)"
="8._at # 本人学歴（ref:中学・高校）",="0.103",="(12.39)"
="8._at # 短大・高専・専門",="0.0816",="(10.82)"
="8._at # 四大以上",="0.0563",="(6.85)"
="9._at # 本人学歴（ref:中学・高校）",="0.124",="(11.68)"
="9._at # 短大・高専・専門",="0.106",="(10.98)"
="9._at # 四大以上",="0.0784",="(7.99)"
="10._at # 本人学歴（ref:中学・高校）",="0.142",="(10.96)"
="10._at # 短大・高専・専門",="0.130",="(10.55)"
="10._at # 四大以上",="0.103",="(8.50)"
="11._at # 本人学歴（ref:中学・高校）",="0.156",="(10.38)"
="11._at # 短大・高専・専門",="0.151",="(10.02)"
="11._at # 四大以上",="0.127",="(8.46)"
="12._at # 本人学歴（ref:中学・高校）",="0.166",="(9.91)"
="12._at # 短大・高専・専門",="0.167",="(9.56)"
="12._at # 四大以上",="0.149",="(8.20)"
="13._at # 本人学歴（ref:中学・高校）",="0.171",="(9.49)"
="13._at # 短大・高専・専門",="0.176",="(9.14)"
="13._at # 四大以上",="0.166",="(7.91)"
="14._at # 本人学歴（ref:中学・高校）",="0.169",="(9.01)"
="14._at # 短大・高専・専門",="0.176",="(8.70)"
="14._at # 四大以上",="0.176",="(7.62)"
="15._at # 本人学歴（ref:中学・高校）",="0.162",="(8.39)"
="15._at # 短大・高専・専門",="0.169",="(8.12)"
="15._at # 四大以上",="0.178",="(7.30)"
="16._at # 本人学歴（ref:中学・高校）",="0.150",="(7.61)"
="16._at # 短大・高専・専門",="0.154",="(7.34)"
="16._at # 四大以上",="0.173",="(6.87)"
="17._at # 本人学歴（ref:中学・高校）",="0.133",="(6.69)"
="17._at # 短大・高専・専門",="0.134",="(6.40)"
="17._at # 四大以上",="0.160",="(6.27)"
="18._at # 本人学歴（ref:中学・高校）",="0.114",="(5.72)"
="18._at # 短大・高専・専門",="0.110",="(5.39)"
="18._at # 四大以上",="0.140",="(5.51)"
="19._at # 本人学歴（ref:中学・高校）",="0.0935",="(4.81)"
="19._at # 短大・高専・専門",="0.0857",="(4.45)"
="19._at # 四大以上",="0.117",="(4.68)"
="20._at # 本人学歴（ref:中学・高校）",="0.0733",="(4.01)"
="20._at # 短大・高専・専門",="0.0626",="(3.64)"
="20._at # 四大以上",="0.0924",="(3.87)"
="21._at # 本人学歴（ref:中学・高校）",="0.0550",="(3.34)"
="21._at # 短大・高専・専門",="0.0430",="(2.99)"
="21._at # 四大以上",="0.0687",="(3.16)"
="22._at # 本人学歴（ref:中学・高校）",="0.0394",="(2.80)"
="22._at # 短大・高専・専門",="0.0277",="(2.47)"
="22._at # 四大以上",="0.0481",="(2.59)"
="23._at # 本人学歴（ref:中学・高校）",="0.0269",="(2.37)"
="23._at # 短大・高専・専門",="0.0168",="(2.07)"
="23._at # 四大以上",="0.0316",="(2.13)"
="24._at # 本人学歴（ref:中学・高校）",="0.0175",="(2.03)"
="24._at # 短大・高専・専門",="0.00955",="(1.76)"
="24._at # 四大以上",="0.0195",="(1.78)"
="25._at # 本人学歴（ref:中学・高校）",="0.0109",="(1.76)"
="25._at # 短大・高専・専門",="0.00511",="(1.51)"
="25._at # 四大以上",="0.0113",="(1.51)"
="Observations",="9441",=""
="R-squared",="",=""
="t statistics in parentheses"
