="",="(1)",=""
="",="marev",=""
="1._at # 本人学歴（ref:中学・高校）",="0.0141",="(4.36)"
="1._at # 短大・高専・専門",="0.00415",="(2.60)"
="1._at # 四大以上",="0.00200",="(1.62)"
="2._at # 本人学歴（ref:中学・高校）",="0.0209",="(5.43)"
="2._at # 短大・高専・専門",="0.00740",="(3.17)"
="2._at # 四大以上",="0.00372",="(1.92)"
="3._at # 本人学歴（ref:中学・高校）",="0.0298",="(6.87)"
="3._at # 短大・高専・専門",="0.0125",="(3.94)"
="3._at # 四大以上",="0.00661",="(2.31)"
="4._at # 本人学歴（ref:中学・高校）",="0.0408",="(8.75)"
="4._at # 短大・高専・専門",="0.0200",="(5.00)"
="4._at # 四大以上",="0.0112",="(2.84)"
="5._at # 本人学歴（ref:中学・高校）",="0.0537",="(10.97)"
="5._at # 短大・高専・専門",="0.0304",="(6.46)"
="5._at # 四大以上",="0.0179",="(3.55)"
="6._at # 本人学歴（ref:中学・高校）",="0.0681",="(12.99)"
="6._at # 短大・高専・専門",="0.0438",="(8.39)"
="6._at # 四大以上",="0.0272",="(4.51)"
="7._at # 本人学歴（ref:中学・高校）",="0.0831",="(14.04)"
="7._at # 短大・高専・専門",="0.0596",="(10.56)"
="7._at # 四大以上",="0.0394",="(5.77)"
="8._at # 本人学歴（ref:中学・高校）",="0.0977",="(14.02)"
="8._at # 短大・高専・専門",="0.0771",="(12.24)"
="8._at # 四大以上",="0.0541",="(7.26)"
="9._at # 本人学歴（ref:中学・高校）",="0.111",="(13.48)"
="9._at # 短大・高専・専門",="0.0947",="(12.80)"
="9._at # 四大以上",="0.0706",="(8.61)"
="10._at # 本人学歴（ref:中学・高校）",="0.122",="(12.90)"
="10._at # 短大・高専・専門",="0.111",="(12.54)"
="10._at # 四大以上",="0.0877",="(9.37)"
="11._at # 本人学歴（ref:中学・高校）",="0.129",="(12.43)"
="11._at # 短大・高専・専門",="0.124",="(12.04)"
="11._at # 四大以上",="0.104",="(9.49)"
="12._at # 本人学歴（ref:中学・高校）",="0.133",="(12.10)"
="12._at # 短大・高専・専門",="0.132",="(11.58)"
="12._at # 四大以上",="0.118",="(9.28)"
="13._at # 本人学歴（ref:中学・高校）",="0.133",="(11.81)"
="13._at # 短大・高専・専門",="0.135",="(11.20)"
="13._at # 四大以上",="0.127",="(9.01)"
="14._at # 本人学歴（ref:中学・高校）",="0.129",="(11.44)"
="14._at # 短大・高専・専門",="0.132",="(10.80)"
="14._at # 四大以上",="0.132",="(8.78)"
="15._at # 本人学歴（ref:中学・高校）",="0.120",="(10.83)"
="15._at # 短大・高専・専門",="0.124",="(10.20)"
="15._at # 四大以上",="0.132",="(8.54)"
="16._at # 本人学歴（ref:中学・高校）",="0.109",="(9.90)"
="16._at # 短大・高専・専門",="0.112",="(9.28)"
="16._at # 四大以上",="0.127",="(8.20)"
="17._at # 本人学歴（ref:中学・高校）",="0.0957",="(8.67)"
="17._at # 短大・高専・専門",="0.0956",="(8.04)"
="17._at # 四大以上",="0.116",="(7.63)"
="18._at # 本人学歴（ref:中学・高校）",="0.0809",="(7.33)"
="18._at # 短大・高専・専門",="0.0780",="(6.69)"
="18._at # 四大以上",="0.102",="(6.79)"
="19._at # 本人学歴（ref:中学・高校）",="0.0660",="(6.08)"
="19._at # 短大・高専・専門",="0.0605",="(5.43)"
="19._at # 四大以上",="0.0857",="(5.76)"
="20._at # 本人学歴（ref:中学・高校）",="0.0518",="(5.01)"
="20._at # 短大・高専・専門",="0.0445",="(4.38)"
="20._at # 四大以上",="0.0686",="(4.73)"
="21._at # 本人学歴（ref:中学・高校）",="0.0391",="(4.14)"
="21._at # 短大・高専・専門",="0.0310",="(3.56)"
="21._at # 四大以上",="0.0523",="(3.83)"
="22._at # 本人学歴（ref:中学・高校）",="0.0284",="(3.45)"
="22._at # 短大・高専・専門",="0.0205",="(2.92)"
="22._at # 四大以上",="0.0378",="(3.11)"
="23._at # 本人学歴（ref:中学・高校）",="0.0198",="(2.90)"
="23._at # 短大・高専・専門",="0.0128",="(2.43)"
="23._at # 四大以上",="0.0260",="(2.54)"
="24._at # 本人学歴（ref:中学・高校）",="0.0133",="(2.47)"
="24._at # 短大・高専・専門",="0.00761",="(2.05)"
="24._at # 四大以上",="0.0170",="(2.10)"
="25._at # 本人学歴（ref:中学・高校）",="0.00859",="(2.13)"
="25._at # 短大・高専・専門",="0.00428",="(1.75)"
="25._at # 四大以上",="0.0105",="(1.77)"
="Observations",="9441",=""
="R-squared",="",=""
="t statistics in parentheses"
