="",="(1)",=""
="",="marev",=""
="1._at # 本人学歴（ref:中学・高校）",="0.0161",="(4.66)"
="1._at # 短大・高専・専門",="0.00498",="(2.78)"
="1._at # 四大以上",="0.00169",="(1.31)"
="2._at # 本人学歴（ref:中学・高校）",="0.0264",="(6.01)"
="2._at # 短大・高専・専門",="0.00943",="(3.46)"
="2._at # 四大以上",="0.00369",="(1.59)"
="3._at # 本人学歴（ref:中学・高校）",="0.0409",="(7.91)"
="3._at # 短大・高専・専門",="0.0168",="(4.40)"
="3._at # 四大以上",="0.00752",="(1.97)"
="4._at # 本人学歴（ref:中学・高校）",="0.0598",="(10.43)"
="4._at # 短大・高専・専門",="0.0281",="(5.75)"
="4._at # 四大以上",="0.0143",="(2.50)"
="5._at # 本人学歴（ref:中学・高校）",="0.0828",="(13.14)"
="5._at # 短大・高専・専門",="0.0441",="(7.67)"
="5._at # 四大以上",="0.0253",="(3.26)"
="6._at # 本人学歴（ref:中学・高校）",="0.108",="(14.85)"
="6._at # 短大・高専・専門",="0.0649",="(10.13)"
="6._at # 四大以上",="0.0415",="(4.33)"
="7._at # 本人学歴（ref:中学・高校）",="0.135",="(15.01)"
="7._at # 短大・高専・専門",="0.0896",="(12.39)"
="7._at # 四大以上",="0.0633",="(5.77)"
="8._at # 本人学歴（ref:中学・高校）",="0.159",="(14.41)"
="8._at # 短大・高専・専門",="0.116",="(13.33)"
="8._at # 四大以上",="0.0898",="(7.28)"
="9._at # 本人学歴（ref:中学・高校）",="0.180",="(13.73)"
="9._at # 短大・高専・専門",="0.142",="(13.01)"
="9._at # 四大以上",="0.119",="(8.24)"
="10._at # 本人学歴（ref:中学・高校）",="0.195",="(13.19)"
="10._at # 短大・高専・専門",="0.165",="(12.31)"
="10._at # 四大以上",="0.147",="(8.41)"
="11._at # 本人学歴（ref:中学・高校）",="0.202",="(12.74)"
="11._at # 短大・高専・専門",="0.181",="(11.67)"
="11._at # 四大以上",="0.170",="(8.20)"
="12._at # 本人学歴（ref:中学・高校）",="0.202",="(12.24)"
="12._at # 短大・高専・専門",="0.190",="(11.16)"
="12._at # 四大以上",="0.186",="(7.90)"
="13._at # 本人学歴（ref:中学・高校）",="0.194",="(11.51)"
="13._at # 短大・高専・専門",="0.191",="(10.67)"
="13._at # 四大以上",="0.194",="(7.58)"
="14._at # 本人学歴（ref:中学・高校）",="0.178",="(10.41)"
="14._at # 短大・高専・専門",="0.182",="(10.05)"
="14._at # 四大以上",="0.190",="(7.16)"
="15._at # 本人学歴（ref:中学・高校）",="0.157",="(8.97)"
="15._at # 短大・高専・専門",="0.166",="(9.17)"
="15._at # 四大以上",="0.178",="(6.51)"
="16._at # 本人学歴（ref:中学・高校）",="0.132",="(7.43)"
="16._at # 短大・高専・専門",="0.144",="(7.99)"
="16._at # 四大以上",="0.157",="(5.61)"
="17._at # 本人学歴（ref:中学・高校）",="0.106",="(6.00)"
="17._at # 短大・高専・専門",="0.118",="(6.67)"
="17._at # 四大以上",="0.130",="(4.59)"
="18._at # 本人学歴（ref:中学・高校）",="0.0805",="(4.82)"
="18._at # 短大・高専・専門",="0.0911",="(5.41)"
="18._at # 四大以上",="0.101",="(3.64)"
="19._at # 本人学歴（ref:中学・高校）",="0.0579",="(3.89)"
="19._at # 短大・高専・専門",="0.0662",="(4.34)"
="19._at # 四大以上",="0.0735",="(2.85)"
="20._at # 本人学歴（ref:中学・高校）",="0.0393",="(3.18)"
="20._at # 短大・高専・専門",="0.0452",="(3.50)"
="20._at # 四大以上",="0.0496",="(2.25)"
="21._at # 本人学歴（ref:中学・高校）",="0.0253",="(2.64)"
="21._at # 短大・高専・専門",="0.0289",="(2.86)"
="21._at # 四大以上",="0.0311",="(1.80)"
="22._at # 本人学歴（ref:中学・高校）",="0.0154",="(2.22)"
="22._at # 短大・高専・専門",="0.0173",="(2.37)"
="22._at # 四大以上",="0.0181",="(1.47)"
="23._at # 本人学歴（ref:中学・高校）",="0.00885",="(1.90)"
="23._at # 短大・高専・専門",="0.00977",="(1.99)"
="23._at # 四大以上",="0.00983",="(1.22)"
="24._at # 本人学歴（ref:中学・高校）",="0.00483",="(1.64)"
="24._at # 短大・高専・専門",="0.00517",="(1.70)"
="24._at # 四大以上",="0.00496",="(1.03)"
="25._at # 本人学歴（ref:中学・高校）",="0.00250",="(1.43)"
="25._at # 短大・高専・専門",="0.00258",="(1.46)"
="25._at # 四大以上",="0.00234",="(0.89)"
="Observations",="7250",=""
="R-squared",="",=""
="t statistics in parentheses"
