="",="(1)",=""
="",="marevm",=""
="1._at # 本人学歴（ref:中学・高校）",="0.863",="(12.76)"
="1._at # 短大・高専・専門",="0.269",="(1.33)"
="1._at # 四大以上",="0.738",="(2.00)"
="2._at # 本人学歴（ref:中学・高校）",="0.831",="(12.73)"
="2._at # 短大・高専・専門",="0.318",="(1.79)"
="2._at # 四大以上",="0.656",="(1.82)"
="3._at # 本人学歴（ref:中学・高校）",="0.797",="(13.28)"
="3._at # 短大・高専・専門",="0.357",="(2.44)"
="3._at # 四大以上",="0.569",="(1.76)"
="4._at # 本人学歴（ref:中学・高校）",="0.762",="(14.41)"
="4._at # 短大・高専・専門",="0.384",="(3.35)"
="4._at # 四大以上",="0.482",="(1.81)"
="5._at # 本人学歴（ref:中学・高校）",="0.728",="(16.02)"
="5._at # 短大・高専・専門",="0.400",="(4.57)"
="5._at # 四大以上",="0.402",="(1.97)"
="6._at # 本人学歴（ref:中学・高校）",="0.696",="(17.74)"
="6._at # 短大・高専・専門",="0.406",="(6.16)"
="6._at # 四大以上",="0.331",="(2.27)"
="7._at # 本人学歴（ref:中学・高校）",="0.667",="(18.77)"
="7._at # 短大・高専・専門",="0.405",="(8.04)"
="7._at # 四大以上",="0.272",="(2.72)"
="8._at # 本人学歴（ref:中学・高校）",="0.641",="(18.50)"
="8._at # 短大・高専・専門",="0.400",="(9.70)"
="8._at # 四大以上",="0.223",="(3.29)"
="9._at # 本人学歴（ref:中学・高校）",="0.619",="(17.23)"
="9._at # 短大・高専・専門",="0.392",="(10.31)"
="9._at # 四大以上",="0.184",="(3.72)"
="10._at # 本人学歴（ref:中学・高校）",="0.600",="(15.69)"
="10._at # 短大・高専・専門",="0.384",="(9.90)"
="10._at # 四大以上",="0.153",="(3.73)"
="11._at # 本人学歴（ref:中学・高校）",="0.586",="(14.28)"
="11._at # 短大・高専・専門",="0.377",="(9.18)"
="11._at # 四大以上",="0.130",="(3.41)"
="12._at # 本人学歴（ref:中学・高校）",="0.575",="(13.11)"
="12._at # 短大・高専・専門",="0.371",="(8.60)"
="12._at # 四大以上",="0.112",="(3.04)"
="13._at # 本人学歴（ref:中学・高校）",="0.568",="(12.15)"
="13._at # 短大・高専・専門",="0.367",="(8.20)"
="13._at # 四大以上",="0.0980",="(2.74)"
="14._at # 本人学歴（ref:中学・高校）",="0.563",="(11.34)"
="14._at # 短大・高専・専門",="0.364",="(7.89)"
="14._at # 四大以上",="0.0877",="(2.53)"
="15._at # 本人学歴（ref:中学・高校）",="0.562",="(10.63)"
="15._at # 短大・高専・専門",="0.363",="(7.48)"
="15._at # 四大以上",="0.0802",="(2.36)"
="16._at # 本人学歴（ref:中学・高校）",="0.563",="(9.95)"
="16._at # 短大・高専・専門",="0.363",="(6.81)"
="16._at # 四大以上",="0.0749",="(2.20)"
="17._at # 本人学歴（ref:中学・高校）",="0.566",="(9.23)"
="17._at # 短大・高専・専門",="0.362",="(5.90)"
="17._at # 四大以上",="0.0716",="(2.02)"
="18._at # 本人学歴（ref:中学・高校）",="0.572",="(8.42)"
="18._at # 短大・高専・専門",="0.360",="(4.90)"
="18._at # 四大以上",="0.0699",="(1.80)"
="19._at # 本人学歴（ref:中学・高校）",="0.580",="(7.53)"
="19._at # 短大・高専・専門",="0.354",="(3.98)"
="19._at # 四大以上",="0.0698",="(1.56)"
="20._at # 本人学歴（ref:中学・高校）",="0.589",="(6.61)"
="20._at # 短大・高専・専門",="0.342",="(3.17)"
="20._at # 四大以上",="0.0711",="(1.33)"
="21._at # 本人学歴（ref:中学・高校）",="0.601",="(5.74)"
="21._at # 短大・高専・専門",="0.322",="(2.49)"
="21._at # 四大以上",="0.0741",="(1.12)"
="22._at # 本人学歴（ref:中学・高校）",="0.615",="(4.99)"
="22._at # 短大・高専・専門",="0.292",="(1.92)"
="22._at # 四大以上",="0.0787",="(0.94)"
="23._at # 本人学歴（ref:中学・高校）",="0.631",="(4.38)"
="23._at # 短大・高専・専門",="0.253",="(1.47)"
="23._at # 四大以上",="0.0853",="(0.79)"
="24._at # 本人学歴（ref:中学・高校）",="0.648",="(3.89)"
="24._at # 短大・高専・専門",="0.208",="(1.14)"
="24._at # 四大以上",="0.0942",="(0.68)"
="25._at # 本人学歴（ref:中学・高校）",="0.668",="(3.52)"
="25._at # 短大・高専・専門",="0.161",="(0.89)"
="25._at # 四大以上",="0.106",="(0.59)"
="Observations",="662",=""
="R-squared",="",=""
="t statistics in parentheses"
